as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,source
2026-06-15,GDX-ASX,-AUD CASH-,,CASH,,940.0,666.0,0.0,AUD,,Australia,web_csv
2026-06-15,GDX-ASX,-CAD CASH-,,CASH,,424.0,303.0,0.0,CAD,,Canada,web_csv
2026-06-15,GDX-ASX,-EUR CASH-,,CASH,,0.0,0.0,0.0,EUR,,Europe,web_csv
2026-06-15,GDX-ASX,-HKD CASH-,,CASH,,0.0,0.0,0.0,HKD,,China,web_csv
2026-06-15,GDX-ASX,-IDR CASH-,,CASH,,1.0,0.0,0.0,IDR,,Indonesia,web_csv
2026-06-15,GDX-ASX,-MXN CASH-,,CASH,,-5362.0,-312.0,0.0,MXN,,Mexico,web_csv
2026-06-15,GDX-ASX,-USD CASH-,,CASH,,35658990.0,35658990.0,0.14,USD,,United States,web_csv
2026-06-15,GDX-ASX,1818 HK,Zhaojin Mining Industry Co Ltd,CNE1000004R6,,74639500.0,201032794.0,0.78,HKD,Materials,China,web_csv
2026-06-15,GDX-ASX,2259 HK,Zijin Gold International Co Ltd,HK0001200002,,1601500.0,24919090.0,0.1,HKD,Materials,China,web_csv
2026-06-15,GDX-ASX,AEM,Agnico Eagle Mines Ltd,CA0084741085,,16581827.0,2848757879.0,10.99,USD,Materials,Canada,web_csv
2026-06-15,GDX-ASX,AG,First Majestic Silver Corp,CA32076V1031,,20386200.0,385299180.0,1.49,USD,Materials,Canada,web_csv
2026-06-15,GDX-ASX,AGI,Alamos Gold Inc,CA0115321089,,16027603.0,603278977.0,2.33,USD,Materials,Canada,web_csv
2026-06-15,GDX-ASX,AMMN IJ,Amman Mineral Internasional Pt,ID1000191109,,658634200.0,141091780.0,0.54,IDR,Materials,Indonesia,web_csv
2026-06-15,GDX-ASX,ARMN,Aris Mining Corp,CA04040Y1097,,8686281.0,150272661.0,0.58,USD,Materials,Colombia,web_csv
2026-06-15,GDX-ASX,ARTG CN,Artemis Gold Inc,CA04302L1004,,6107970.0,155731490.0,0.6,CAD,Materials,Canada,web_csv
2026-06-15,GDX-ASX,AU,Anglogold Ashanti Plc,GB00BRXH2664,,14561383.0,1343870037.0,5.18,USD,Materials,United States,web_csv
2026-06-15,GDX-ASX,B,Barrick Mining Corp,CA06849F1080,,52120127.0,2180184912.0,8.41,USD,Materials,Canada,web_csv
2026-06-15,GDX-ASX,BRMS IJ,Bumi Resources Minerals Tbk Pt,ID1000117609,,3219327500.0,120347332.0,0.46,IDR,Materials,Indonesia,web_csv
2026-06-15,GDX-ASX,BTG,B2gold Corp,CA11777Q2099,,51119138.0,228502547.0,0.88,USD,Materials,Canada,web_csv
2026-06-15,GDX-ASX,BVN,Cia De Minas Buenaventura Saa,US2044481040,,7869924.0,274345551.0,1.06,USD,Materials,Peru,web_csv
