as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,IS0E,1787,SHANDONG GOLD MINING LTD H,CNE1000036N7,,4369260.0,12870939.0,0.0,,Materials,China,,equity,web_csv
2026-06-15,IS0E,1818,ZHAOJIN MINING INDUSTRY LTD H,CNE1000004R6,,8080000.0,22069458.0,1.0,,Materials,China,,equity,web_csv
2026-06-15,IS0E,2099,CHINA GOLD INTERNATIONAL RESOURCES,CA16890P1036,,1143400.0,23408258.0,1.0,,Materials,China,,equity,web_csv
2026-06-15,IS0E,2259,ZIJIN GOLD INTERNATIONAL LTD,HK0001200002,,907000.0,14065336.0,0.0,,Materials,China,,equity,web_csv
2026-06-15,IS0E,2899,ZIJIN MINING GROUP LTD H,CNE100000502,,28916000.0,123858755.0,3.0,,Materials,China,,equity,web_csv
2026-06-15,IS0E,3330,LINGBAO GOLD GROUP LTD H,CNE1000001H3,,3731200.0,7595839.0,0.0,,Materials,China,,equity,web_csv
2026-06-15,IS0E,340,TONGGUAN GOLD GROUP LTD,BMG8919D1074,,11312000.0,2945345.0,0.0,,Materials,China,,equity,web_csv
2026-06-15,IS0E,5857,ARE HOLDINGS INC,JP3116700000,,355300.0,7133068.0,0.0,,Materials,Japan,,equity,web_csv
2026-06-15,IS0E,6693,CHIFENG JILONG GOLD MINING LTD CLA,CNE100006T51,,1135600.0,4214891.0,0.0,,Materials,China,,equity,web_csv
2026-06-15,IS0E,AAUC,ALLIED GOLD CORP,CA01921D2041,,461165.0,12196972.0,0.0,,Materials,Canada,,equity,web_csv
2026-06-15,IS0E,ABX,BARRICK MINING CORP,CA06849F1080,,8091179.0,339407430.0,9.0,,Materials,Canada,,equity,web_csv
2026-06-15,IS0E,AEM,AGNICO EAGLE MINES LTD,CA0084741085,,2027254.0,348511575.0,9.0,,Materials,Canada,,equity,web_csv
2026-06-15,IS0E,AGI,ALAMOS GOLD INC CLASS A,CA0115321089,,2027322.0,76250345.0,2.0,,Materials,Canada,,equity,web_csv
2026-06-15,IS0E,ALK,ALKANE RESOURCES LTD,AU000000ALK9,,5135890.0,5495718.0,0.0,,Materials,Australia,,equity,web_csv
2026-06-15,IS0E,ARIS,ARIS MINING CORP,CA04040Y1097,,997557.0,17289227.0,0.0,,Materials,Canada,,equity,web_csv
2026-06-15,IS0E,AU,ANGLOGOLD ASHANTI PLC,GB00BRXH2664,,2047140.0,188930551.0,5.0,,Materials,South Africa,,equity,web_csv
2026-06-15,IS0E,AUD,AUD CASH,CASH,,3365645.0,2385064.0,0.0,,Cash and/or Derivatives,Australia,,cash,web_csv
2026-06-15,IS0E,AUD,AUD/USD,CASH,,-1128242.0,-7.0,0.0,,Cash and/or Derivatives,United States,,cash,web_csv
2026-06-15,IS0E,AUD,AUD/USD,CASH,,564121.0,-3.0,0.0,,Cash and/or Derivatives,United States,,cash,web_csv
