as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,LIT,002176 C2,JIANGXI SPECIAL ELECTRIC -A,,BD5CC72,7185240.0,12077820.48,0.62,USD,,,,equity,web_csv
2026-06-15,LIT,002371 C2,NAURA TECHNOLOGY GROUP CO-A,,BD5LYF1,1100810.0,111123464.56,5.73,USD,,,,equity,web_csv
2026-06-15,LIT,002460 C2,GANFENG LITHIUM GROUP CO L-A,,BD5CB19,5650632.0,59631717.65,3.07,USD,,,,equity,web_csv
2026-06-15,LIT,002466 C2,TIANQI LITHIUM CORP-A,,BD5CKH8,5121493.0,48288232.66,2.49,USD,,,,equity,web_csv
2026-06-15,LIT,002709 C2,GUANGZHOU TINCI MATERIALS -A,,BD5LR63,6666085.0,48351852.08,2.49,USD,,,,equity,web_csv
2026-06-15,LIT,002738 C2,SINOMINE RESOURCE GROUP CO-A,CNE100001WV3,BNR4M32,3129056.0,28937586.93,1.49,USD,,,,equity,web_csv
2026-06-15,LIT,002812 C2,YUNNAN ENERGY NEW MATERIAL-A,,BFCCR30,2856459.0,28707450.99,1.48,USD,,,,equity,web_csv
2026-06-15,LIT,006400 KS,SAMSUNG SDI CO LTD,,6771645,235109.0,86011694.23,4.43,USD,,,,equity,web_csv
2026-06-15,LIT,066970 KS,L&F CO LTD,,6578608,151375.0,14190154.47,0.73,USD,,,,equity,web_csv
2026-06-15,LIT,1211 HK,BYD CO LTD-H,SA123GA0ITH7,6536651,5285321.0,57744639.7,2.98,USD,,,,equity,web_csv
2026-06-15,LIT,2324825D AU,ESG MINERALS LTD,,BPGN3K8,397586.0,0.0,0.0,USD,,,,derivative,web_csv
2026-06-15,LIT,247540 KS,ECOPRO BM CO LTD,,BJ321P7,281078.0,34679179.02,1.79,USD,,,,equity,web_csv
2026-06-15,LIT,300014 C2,EVE ENERGY CO LTD-A,,BD5C7G6,7126094.0,61969243.94,3.19,USD,,,,equity,web_csv
2026-06-15,LIT,300207 C2,SUNWODA ELECTRONIC CO LTD-A,,BD5CCV6,7012691.0,21354973.33,1.1,USD,,,,equity,web_csv
