as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,source
2026-06-15,PICK,000426,INNER MONGOLIA XINGYE SILVER&TIN M,CNE000000D24,BD5LTX4,137200.0,817328.87,0.04,USD,Materials,China,web_csv
2026-06-15,PICK,000630,TONGLING NONFERROUS METALS GROUP L,CNE000000529,BD5CMD8,1056700.0,1197703.82,0.05,USD,Materials,China,web_csv
2026-06-15,PICK,000657,CHINA TUNGSTEN AND HIGHTECH MATERI,CNE0000006M4,BD5M023,179300.0,2305520.69,0.1,USD,Materials,China,web_csv
2026-06-15,PICK,000688,GUOCHENG MINING LTD A,CNE0000003F5,BD5M1R5,90300.0,609286.49,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,000708,CITIC PACIFIC SPECIAL STEEL GROUP,CNE0000008J6,BL4P3T7,247400.0,515431.92,0.02,USD,Materials,China,web_csv
2026-06-15,PICK,000807,YUNNAN ALUMINIUM LTD A,CNE000000VG9,BD5CB75,280500.0,1116488.11,0.05,USD,Materials,China,web_csv
2026-06-15,PICK,000831,CHINA RARE EARTH RESOURCES AND TEC,CNE000000WS2,BFY8HG9,85000.0,734515.11,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,000932,HUNAN VALIN STEEL LTD A,CNE000001006,BD5M0H8,518300.0,295264.27,0.01,USD,Materials,China,web_csv
2026-06-15,PICK,000933,HENAN SHENHUO COAL & POWER LTD A,CNE000001097,BD6QWQ2,171500.0,670956.76,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,000960,YUNNAN TIN LTD A,CNE0000011D3,BD5CHF5,121800.0,746494.03,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,000975,SHANJIN INTERNATIONAL GOLD LTD A,CNE0000012L4,BD5CF40,215740.0,707087.83,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,001203,DAZHONG MINING LTD A,CNE100004JY8,BQ3RQ67,116800.0,709109.52,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,001430,SEAH BESTEEL HDS CORP,KR7001430008,6494500,20161.0,620861.7,0.03,USD,Materials,Korea (South),web_csv
2026-06-15,PICK,002379,SHANDONG HONGQIAO ALUMINUM INDUSTR,CNE100000MW4,BSY22K1,229900.0,588510.25,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,002532,TIANSHAN ALUMINUM GROUP LTD A,CNE100000YJ6,BMQBT81,347260.0,694704.98,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,002738,SINOMINE RESOURCE GROUP LTD A,CNE100001WV3,BNR4M32,52000.0,480897.28,0.02,USD,Materials,China,web_csv
2026-06-15,PICK,003030,SEAH STEEL HOLDINGS CORP,KR7003030004,6709549,1.0,91.69,0.0,USD,Materials,Korea (South),web_csv
2026-06-15,PICK,004020,HYUNDAI STEEL,KR7004020004,6461850,111892.0,2712914.66,0.12,USD,Materials,Korea (South),web_csv
2026-06-15,PICK,005490,POSCO,KR7005490008,6693233,94282.0,24637066.68,1.09,USD,Materials,Korea (South),web_csv
2026-06-15,PICK,103140,POONGSANORATION CORP,KR7103140000,B3BDFS1,21672.0,1082453.03,0.05,USD,Materials,Korea (South),web_csv
2026-06-15,PICK,1208,MMG LTD,HK1208013172,6728793,5567600.0,6921393.25,0.31,USD,Materials,China,web_csv
2026-06-15,PICK,1211,SAUDI ARABIAN MINING,SA123GA0ITH7,B3C8VY3,1539071.0,25593079.39,1.13,USD,Materials,Saudi Arabia,web_csv
2026-06-15,PICK,1258,CHINA NONFERROUS MINING CORPORATIO,HK0000112026,B890GY2,1786000.0,3510497.9,0.15,USD,Materials,China,web_csv
2026-06-15,PICK,1320,SAUDI STEEL PIPE,SA12B050KK11,B3W1HL1,23539.0,351281.55,0.02,USD,Materials,Saudi Arabia,web_csv
2026-06-15,PICK,1321,EAST PIPES INTEGRATED COMPANY FOR,SA15GH80KKH0,BNYN3R3,19355.0,1104821.05,0.05,USD,Materials,Saudi Arabia,web_csv
2026-06-15,PICK,1322,AL MASANE AL KOBRA MINING,SA15HG50KL10,BNNVLT6,46672.0,945255.7,0.04,USD,Materials,Saudi Arabia,web_csv
2026-06-15,PICK,1378,CHINA HONGQIAO GROUP LTD,KYG211501005,B44ZV94,4253000.0,14167800.48,0.63,USD,Materials,China,web_csv
2026-06-15,PICK,1515,NITTETSU MINING LTD,JP3680800004,6641027,53300.0,866033.47,0.04,USD,Materials,Japan,web_csv
2026-06-15,PICK,2002,CHINA STEEL CORP,TW0002002003,6190950,15592612.0,9391948.64,0.41,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,2006,TUNG HO STEEL ENTERPRISE CORP,TW0002006004,6907310,586700.0,1283359.75,0.06,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,2014,CHUNG HUNG STEEL CORP,TW0002014008,6987602,1049000.0,603580.71,0.03,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,2015,FENG HSIN IRON & STEEL LTD,TW0002015005,6335030,547918.0,1111677.4,0.05,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,2023,YIEH PHUI ENTERPRISE LTD,TW0002023009,6987668,1112831.0,490373.79,0.02,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,2027,TA CHEN STAINLESS PIPE LTD,TW0002027000,6873109,2489721.0,3445229.57,0.15,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,2211,EVERGREEN STEEL CORP,TW0002211000,BK7KCQ2,223000.0,675843.27,0.03,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,2240,ADVANCED BUILDING INDUSTRIES,SA0007879410,B136LS6,37867.0,356217.22,0.02,USD,Materials,Saudi Arabia,web_csv
2026-06-15,PICK,2245,LYGEND RESOURCES & TECHNOLOGY CLS,CNE100005M34,BP6W6R3,199800.0,383029.27,0.02,USD,Materials,China,web_csv
2026-06-15,PICK,2362,JINCHUAN GROUP INTERNATIONAL RESOU,KYG5138B1023,6373988,2398000.0,143783.9,0.01,USD,Materials,China,web_csv
2026-06-15,PICK,2600,ALUMINUM CORPORATION OF CHINA LTD,CNE1000001T8,6425395,4920000.0,5934217.41,0.26,USD,Materials,China,web_csv
2026-06-15,PICK,323,MAANSHAN IRON AND STEEL LTD H,CNE1000003R8,6600879,1790000.0,422660.15,0.02,USD,Materials,China,web_csv
2026-06-15,PICK,347,ANGANG STEEL LTD H,CNE1000001V4,6015644,1836000.0,292920.14,0.01,USD,Materials,China,web_csv
2026-06-15,PICK,358,JIANGXI COPPER LTD H,CNE1000003K3,6000305,1349000.0,6405033.89,0.28,USD,Materials,China,web_csv
2026-06-15,PICK,3788,HANKING GOLD INTERNATIONAL LTD,KYG2115G1055,B6QSG78,895000.0,316423.95,0.01,USD,Materials,China,web_csv
2026-06-15,PICK,3833,XINJIANG XINXIN MINING INDUSTRY LT,CNE1000007G2,B24FHB4,1074000.0,250854.51,0.01,USD,Materials,China,web_csv
2026-06-15,PICK,3858,JIAXIN INTERNATIONAL RESOURCES INV,HK0001188587,BVF8CT8,110800.0,1254382.32,0.06,USD,Materials,Hong Kong,web_csv
2026-06-15,PICK,3993,CMOC GROUP LTD,CNE100000114,B1VRCG6,4839000.0,12340070.71,0.54,USD,Materials,China,web_csv
2026-06-15,PICK,5009,GLORIA MATERIAL TECHNOLOGY CORP,TW0005009005,6131272,558000.0,651860.89,0.03,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,5016,JX ADVANCED METALS CORP,JP3379550001,6543770,724800.0,17045065.57,0.75,USD,Materials,Japan,web_csv
2026-06-15,PICK,532527,RAMKRISHNA FORGINGS LTD,INE399G01023,BP95CX7,104548.0,650122.3,0.03,USD,Materials,India,web_csv
2026-06-15,PICK,5401,NIPPON STEEL CORP,JP3381000003,6642569,6393325.0,22923986.61,1.01,USD,Materials,Japan,web_csv
2026-06-15,PICK,5406,KOBE STEEL LTD,JP3289800009,6496023,498600.0,6217710.75,0.27,USD,Materials,Japan,web_csv
2026-06-15,PICK,5411,JFE HOLDINGS INC,JP3386030005,6543792,760400.0,7822898.71,0.35,USD,Materials,Japan,web_csv
2026-06-15,PICK,5423,TOKYO STEEL MANUFACTURING LTD,JP3579800008,6895879,69000.0,758336.46,0.03,USD,Materials,Japan,web_csv
2026-06-15,PICK,5440,KYOEI STEEL LTD,JP3247400009,B1HHF49,24000.0,267066.32,0.01,USD,Materials,Japan,web_csv
2026-06-15,PICK,5444,YAMATO KOGYO LTD,JP3940400009,6985446,43300.0,3328481.33,0.15,USD,Materials,Japan,web_csv
2026-06-15,PICK,5451,YODOKO LTD,JP3959400007,6986364,137600.0,1092104.41,0.05,USD,Materials,Japan,web_csv
2026-06-15,PICK,5463,MARUICHI STEEL TUBE LTD,JP3871200006,6569505,216100.0,2268415.76,0.1,USD,Materials,Japan,web_csv
2026-06-15,PICK,5471,DAIDO STEEL LTD,JP3491000000,6250627,168800.0,2593031.1,0.11,USD,Materials,Japan,web_csv
2026-06-15,PICK,5482,AICHI STEEL CORP,JP3103600007,6010207,37800.0,735275.38,0.03,USD,Materials,Japan,web_csv
2026-06-15,PICK,5703,NIPPON LIGHT METAL HOLDINGS LTD,JP3700200003,B51WP26,74740.0,1449155.11,0.06,USD,Materials,Japan,web_csv
2026-06-15,PICK,5706,MITSUI KINZOKU LIMITED LTD,JP3888400003,6597346,72000.0,20092918.7,0.89,USD,Materials,Japan,web_csv
2026-06-15,PICK,5711,MITSUBISHI MATERIALS CORP,JP3903000002,6597089,162800.0,5088135.38,0.22,USD,Materials,Japan,web_csv
2026-06-15,PICK,5713,SUMITOMO METAL MINING LTD,JP3402600005,6858849,315500.0,18125390.28,0.8,USD,Materials,Japan,web_csv
2026-06-15,PICK,5714,DOWA HOLDINGS LTD,JP3638600001,6278306,69900.0,4308186.59,0.19,USD,Materials,Japan,web_csv
2026-06-15,PICK,5741,UACJ CORP,JP3826900007,B0N9WZ2,207952.0,3947633.82,0.17,USD,Materials,Japan,web_csv
2026-06-15,PICK,600010,INNER MONGOLIA BAOTOU STEEL UNION,CNE0000017H1,BP3R488,3463621.0,1235140.51,0.05,USD,Materials,China,web_csv
2026-06-15,PICK,600019,BAOSHAN IRON & STEEL LTD A,CNE0000015R4,BP3R2Y0,1758393.0,1553313.93,0.07,USD,Materials,China,web_csv
2026-06-15,PICK,600111,CHINA NORTHERN RARE EARTH (GROUP),CNE000000T18,BP3R370,287123.0,2144224.46,0.09,USD,Materials,China,web_csv
2026-06-15,PICK,600219,SHANDONG NANSHAN ALUMINIUM LTD A,CNE000001139,BP3R9D8,897730.0,638939.55,0.03,USD,Materials,China,web_csv
2026-06-15,PICK,600362,JIANGXI COPPER LTD A,CNE0000019P0,BP3R4R7,169525.0,1187994.43,0.05,USD,Materials,China,web_csv
2026-06-15,PICK,600549,XIAMEN TUNGSTEN LTD A,CNE000001D15,BP3R6F9,123299.0,1300457.62,0.06,USD,Materials,China,web_csv
2026-06-15,PICK,600673,GUANGDONG HEC TECHNOLOGY HOLDING L,CNE000000BL1,BP3R819,241600.0,1183297.32,0.05,USD,Materials,China,web_csv
2026-06-15,PICK,600711,CHENGTUN MINING GROUP LTD A,CNE000000KN8,BTFRHJ6,232200.0,462805.78,0.02,USD,Materials,China,web_csv
2026-06-15,PICK,601168,WESTERN MINING LTD A,CNE100000619,BP3R7X4,178525.0,867503.33,0.04,USD,Materials,China,web_csv
2026-06-15,PICK,601212,BAIYIN NONFERROUS GROUP LTD A,CNE100002RP3,BFB4KH2,558800.0,498588.97,0.02,USD,Materials,China,web_csv
2026-06-15,PICK,601600,ALUMINUM CORPORATION OF CHINA LTD,CNE1000000T0,BP3R4D3,1043165.0,1646972.64,0.07,USD,Materials,China,web_csv
2026-06-15,PICK,601958,JINDUICHENG MOLYBDENUM LTD A,CNE1000009Y1,BP3R5L8,252000.0,1046675.15,0.05,USD,Materials,China,web_csv
2026-06-15,PICK,603993,CHINA MOLYBDENUM LTD A,CNE100001NR0,BP3R574,1362900.0,4218855.3,0.19,USD,Materials,China,web_csv
2026-06-15,PICK,639,SHOUGANG FUSHAN RESOURCES GROUP LT,HK0639031506,6354671,2586000.0,861460.9,0.04,USD,Materials,China,web_csv
2026-06-15,PICK,688122,WESTERN SUPERCONDUCTING TECHNOLOGI,CNE100003MF3,BK71F00,49286.0,418459.16,0.02,USD,Materials,China,web_csv
2026-06-15,PICK,773,CHINA METAL RECYCLING (HOLDINGS) L,KYG211311009,B54DPL5,132000.0,0.17,0.0,USD,Materials,China,web_csv
2026-06-15,PICK,826,TIANGONG INTERNATIONAL LTD,KYG888311134,B236JB2,1728000.0,871178.96,0.04,USD,Materials,China,web_csv
2026-06-15,PICK,9958,CENTURY IRON AND STEEL INDUSTRIAL,TW0009958009,B1LJ5C9,226000.0,788105.5,0.03,USD,Materials,Taiwan,web_csv
2026-06-15,PICK,AA,ALCOA CORP,US0138721065,BYNF418,348817.0,22380098.72,0.99,USD,Materials,United States,web_csv
2026-06-15,PICK,AAL,ANGLO AMERICAN PLC,GB00BTK05J60,BTK05J6,1398616.0,76843767.28,3.39,USD,Materials,United Kingdom,web_csv
2026-06-15,PICK,ABRA,ABRASILVER RESOURCE CORP,CA00379L3048,BR4XSQ5,174275.0,1970406.81,0.09,USD,Materials,Canada,web_csv
2026-06-15,PICK,ACX,ACERINOX SA,ES0132105018,B01ZVZ5,242385.0,4735093.38,0.21,USD,Materials,Spain,web_csv
2026-06-15,PICK,AII,ALMONTY INDUSTRIES INC,CA0203987072,BS84NW2,281113.0,5039093.1,0.22,USD,Materials,Canada,web_csv
2026-06-15,PICK,ALLEI,ALLEIMA,SE0017615644,BMQ4ZX7,244550.0,2550548.69,0.11,USD,Materials,Sweden,web_csv
2026-06-15,PICK,ALRS,AK ALROSA,RU0007252813,B6QPBP2,2886002.0,397.93,0.0,USD,Materials,Russian Federation,web_csv
2026-06-15,PICK,ALS,ALTIUS MINERALS CORP,CA0209361009,2122355,51707.0,2217467.9,0.1,USD,Materials,Canada,web_csv
2026-06-15,PICK,AMG,AMG CRITICAL MATERIALS NV,NL0000888691,B1Z95S1,44883.0,1913036.44,0.08,USD,Materials,Netherlands,web_csv
2026-06-15,PICK,AMR,ALPHA METALLURGICAL RESOURCE INC,US0207641061,BMFND53,14444.0,2748548.76,0.12,USD,Materials,United States,web_csv
2026-06-15,PICK,ANTO,ANTOFAGASTA PLC,GB0000456144,0045614,456373.0,26313371.88,1.16,USD,Materials,United Kingdom,web_csv
2026-06-15,PICK,APAM,APERAM SA,LU0569974404,B58C6H1,57068.0,3421382.82,0.15,USD,Materials,France,web_csv
2026-06-15,PICK,APLAPOLLO,APL APOLLO TUBES LTD,INE702C01027,BNDTGN9,238566.0,4618751.1,0.2,USD,Materials,India,web_csv
2026-06-15,PICK,ARI,AFRICAN RAINBOW MINERAL LTD,ZAE000054045,6041122,135323.0,1648879.29,0.07,USD,Materials,South Africa,web_csv
