as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,source
2026-06-16,SILJ,AAG CN,Aftermath Silver Ltd,,,7741650.0,4431872.34,0.12,USD,,,web_csv
2026-06-16,SILJ,ABRA CN,AbraSilver Resource Corp,CA00379L3048,,4267593.0,48250720.53,1.26,USD,,,web_csv
2026-06-16,SILJ,AG,First Majestic Silver Corp,CA32076V1031,,19328486.0,365308385.4,9.56,USD,,,web_csv
2026-06-16,SILJ,AGMR CN,Silver Mountain Resources Inc,,,1825076.0,5380738.57,0.14,USD,,,web_csv
2026-06-16,SILJ,AGPXX,Invesco Government & Agency Portfolio 12/31/2031,,,10107377.77,10107377.77,0.26,USD,,,web_csv
2026-06-16,SILJ,APM CN,Andean Precious Metals Corp,CA03349X1015,,2161979.0,9561007.71,0.25,USD,,,web_csv
2026-06-16,SILJ,ARD AU,Argent Minerals Ltd,,,33962137.0,625750.68,0.02,USD,,,web_csv
2026-06-16,SILJ,ASM,Avino Silver & Gold Mines Ltd,CA0539061030,,8763707.0,59856118.81,1.57,USD,,,web_csv
2026-06-16,SILJ,AYA CN,Aya Gold & Silver Inc,CA05466C1095,,5762958.0,119057281.09,3.12,USD,,,web_csv
2026-06-16,SILJ,BMC AU,BMC Minerals Ltd,,,1330309.0,2865887.17,0.08,USD,,,web_csv
2026-06-16,SILJ,BNKR CN,Bunker Hill Mining Corp,,,418119.0,1768280.29,0.05,USD,,,web_csv
2026-06-16,SILJ,BOL SS,Boliden AB,SE0020050417,,3300053.0,201191827.51,5.27,USD,,,web_csv
2026-06-16,SILJ,BVN,Cia de Minas Buenaventura SAA,US2044481040,,5273303.0,183827342.58,4.81,USD,,,web_csv
2026-06-16,SILJ,CAD,CANADIAN DOLLAR,,,150976.71,108037.29,0.0,USD,,,web_csv
2026-06-16,SILJ,CDE,COEUR MINING INC.,US1921085049,,6678051.0,124612431.66,3.26,USD,,,web_csv
