as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,source
2026-06-16,URNM-ASX,1164 HK,CGN MINING CO LTD,,,23794965.0,12980634.81,3.79611285,AUD,Energy,China,web_csv
2026-06-16,URNM-ASX,AEC CV,ANFIELD ENERGY INC,,,149592.0,874258.6,0.25567196,AUD,Energy,Canada,web_csv
2026-06-16,URNM-ASX,AEE AT,AURA ENERGY LTD,,,9612732.0,1057400.52,0.30923077,AUD,Energy,Australia,web_csv
2026-06-16,URNM-ASX,AEU AT,ATOMIC EAGLE LTD,,,3683478.0,1454973.81,0.42549882,AUD,Energy,Australia,web_csv
2026-06-16,URNM-ASX,AGE AT,ALLIGATOR ENERGY LTD,,,41838658.0,1715384.98,0.50165458,AUD,Energy,Australia,web_csv
2026-06-16,URNM-ASX,AUD,AUD - AUSTRALIA DOLLAR,,,221193.7,221193.7,0.06468684,AUD,,,web_csv
2026-06-16,URNM-ASX,BKY LN,BERKELEY ENERGIA LTD,,,4058190.0,1927478.34,0.56368008,AUD,Energy,Australia,web_csv
2026-06-16,URNM-ASX,BMN AT,BANNERMAN ENERGY LTD,,,1958213.0,6775416.98,1.98143218,AUD,Energy,Australia,web_csv
2026-06-16,URNM-ASX,BOE AT,BOSS ENERGY LTD,,,3914377.0,4736396.17,1.38513213,AUD,Energy,Australia,web_csv
2026-06-16,URNM-ASX,"Betashares makes no representation or warranty of any kind, either express or implied, with respect to the holdings data,",,,,,,,AUD,,,web_csv
2026-06-16,URNM-ASX,CAD,CAD - CANADA DOLLAR,,,12792.39,12934.67,0.00378267,AUD,,,web_csv
2026-06-16,URNM-ASX,CCJ UN,CAMECO CORP,,,354532.0,54112778.95,15.82497457,AUD,Energy,Canada,web_csv
2026-06-16,URNM-ASX,CVV CV,CANALASKA URANIUM LTD,,,2073766.0,1132288.82,0.33113143,AUD,Energy,Canada,web_csv
2026-06-16,URNM-ASX,CXU AT,CAULDRON ENERGY LTD,,,46365877.0,3106513.76,0.90848229,AUD,Energy,Australia,web_csv
2026-06-16,URNM-ASX,DNN UA,DENISON MINES CORP,,,3339190.0,15732176.99,4.60078572,AUD,Energy,Canada,web_csv
