as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-18,URNM,CCJ,Cameco Corp.,,2158684,3926140.0,418094648.6,20.05,USD,,,,equity,web_csv
2026-06-18,URNM,U-U CN,Sprott Physical Uranium Trust,,BNZKG52,13913547.0,263299764.6,12.63,USD,,,,equity,web_csv
2026-06-18,URNM,NXE,NexGen Energy Ltd.,,BCH0BB4,24317359.0,258979873.35,12.42,USD,,,,equity,web_csv
2026-06-18,URNM,DNN,Denison Mines Corp.,,B0122F3,31497519.0,105516688.65,5.06,USD,,,,equity,web_csv
2026-06-18,URNM,UUUU,Energy Fuels Inc.,,BFV4XW8,6349783.0,105152406.48,5.04,USD,,,,equity,web_csv
2026-06-18,URNM,DYL AU,Deep Yellow Ltd.,,6480275,85574229.0,103244675.21,4.95,USD,,,,equity,web_csv
2026-06-18,URNM,KAP LI,NAC Kazatomprom JSC,,BGXQL36,1332973.0,95574164.1,4.58,USD,,,,equity,web_csv
2026-06-18,URNM,1164 HK,CGN Mining Co. Ltd.,,B755514,245160300.0,90713221.05,4.35,USD,,,,equity,web_csv
2026-06-18,URNM,UEC,Uranium Energy Corp.,,B0VLLY2,7544483.0,90609240.83,4.35,USD,,,,equity,web_csv
2026-06-18,URNM,PDN AU,Paladin Energy Ltd.,,6668468,12197188.0,86327090.61,4.14,USD,,,,equity,web_csv
2026-06-18,URNM,YCA LN,Yellow Cake PLC,,BF50RG4,10204093.0,74016884.75,3.55,USD,,,,equity,web_csv
2026-06-18,URNM,URG,Ur-Energy Inc.,,B0WW4L2,39941277.0,59911915.5,2.87,USD,,,,equity,web_csv
2026-06-18,URNM,BMN AU,Bannerman Energy Ltd.,,B07DXJ1,20721772.0,51164151.34,2.45,USD,,,,equity,web_csv
2026-06-18,URNM,ISO CN,IsoEnergy Ltd.,,BTTRKM6,4210098.0,50334729.02,2.41,USD,,,,equity,web_csv
2026-06-18,URNM,BOE AU,Boss Energy Ltd.,,B1XLCQ6,42966174.0,36467691.63,1.75,USD,,,,equity,web_csv
2026-06-18,URNM,EU CN,Encore Energy Corp.,,BN48958,20975225.0,34425752.18,1.65,USD,,,,equity,web_csv
2026-06-18,URNM,GLO CN,Global Atomic Corp.,,BF11BK3,51551819.0,29175802.2,1.4,USD,,,,equity,web_csv
2026-06-18,URNM,SASK CN,Atha Energy Corp.,,BNQNDF9,33421577.0,29081772.64,1.39,USD,,,,equity,web_csv
2026-06-18,URNM,NUCL,Eagle Nuclear Energy Corp.,,BSRFLX3,1731300.0,19477125.0,0.93,USD,,,,equity,web_csv
2026-06-18,URNM,MGA CN,Mega Uranium Ltd.,,2817833,37100297.0,17584944.99,0.84,USD,,,,equity,web_csv
2026-06-18,URNM,PEN AU,Peninsula Energy Ltd.,,6486381,43775801.0,16120912.68,0.77,USD,,,,equity,web_csv
2026-06-18,URNM,URC CN,Uranium Royalty Corp.,,BKMD921,4620961.0,13631924.85,0.65,USD,,,,equity,web_csv
2026-06-18,URNM,LOT AU,Lotus Resources Ltd.,,BK6XLC1,27334008.0,12654455.8,0.61,USD,,,,equity,web_csv
2026-06-18,URNM,LAM CN,Laramide Resources Ltd.,,2507952,22508277.0,11146258.64,0.53,USD,,,,equity,web_csv
2026-06-18,URNM,CVV CN,CanAlaska Uranium Ltd.,,BR1YTV3,10165251.0,3379907.3,0.16,USD,,,,equity,web_csv
2026-06-18,URNM,AGE AU,Alligator Energy Ltd.,,B55ZH25,7217962.0,265809.27,0.01,USD,,,,equity,web_csv
2026-06-18,URNM,,Cash Equivalent,CASH,,8500731.44,8500731.44,0.46,USD,,,,cash,web_csv
